time,time_avg,key_size,e
[46836.26|33985.93|41384.49|55664.94|55190.34],46612.39,512,65537
[59239.74|62104.14|52384.16|45679.25|91578.18],62197.09,528,65537
[90905.52|63990.65|77185.18|60355.5|124815.24],83450.42,544,65537
[102714.18|55501.67|88164.88|54436.93|66731.08],73509.75,560,65537
[173487.97|48296.46|53641.08|93808.18|58581.82],85563.1,576,65537
[69629.42|135627.96|65494.72|65734.87|86895.06],84676.41,592,65537
[85173.98|89021.54|56258.34|63980.01|81351.37],75157.05,608,65537
[19732.67|28940.7|28345.27|40941.86|109042.54],45400.61,624,65537
[35523.59|38909.6|37435.13|56352.83|40514.02],41747.03,640,65537
[66483.66|45836.22|50670.07|37020.34|89823.58],57966.77,656,65537
[37278.91|62126.35|51015.0|52048.97|55144.54],51522.75,672,65537
[33478.96|60993.56|36137.31|124381.63|72056.88],65409.67,688,65537
[81565.11|126397.92|189674.67|78346.5|97069.53],114610.75,704,65537
[38880.25|54462.43|62759.63|77453.19|142401.05],75191.31,720,65537
[73964.88|79866.81|82829.38|54646.13|86965.8],75654.6,736,65537
[71937.17|53108.15|103753.22|60751.79|82928.45],74495.76,752,65537
[112779.51|152204.8|85671.91|34594.19|92254.37],95500.96,768,65537
[49265.19|121720.23|44301.04|150117.53|142218.24],101524.45,784,65537
[84190.05|77217.79|85927.64|134913.14|157545.53],107958.83,800,65537
[91651.6|97019.83|95033.22|105162.85|65123.88],90798.28,816,65537
[81816.69|33474.69|252233.16|145066.85|73530.27],117224.33,832,65537
[49720.11|131685.39|101869.64|219900.27|61111.08],112857.3,848,65537
[64344.87|150910.93|141875.91|105325.39|62081.29],104907.68,864,65537
[61238.99|87191.15|130425.46|252103.17|121403.59],130472.47,880,65537
[53908.84|195205.75|80677.75|87719.84|59146.18],95331.67,896,65537
[169082.34|133012.72|47392.84|75320.42|233275.51],131616.77,912,65537
[146279.39|243339.32|108560.58|236000.62|106485.13],168133.01,928,65537
[92774.22|367397.76|59179.5|185645.76|80529.95],157105.44,944,65537
[482325.64|238347.38|260298.62|39645.06|109793.07],226081.95,960,65537
[136688.45|438525.65|82845.24|263824.96|755706.72],335518.2,976,65537
[348128.0|127804.72|142949.15|174349.36|130955.72],184837.39,992,65537
[286637.74|157092.75|353182.56|147667.42|40469.86],197010.07,1008,65537
[97076.76|101823.39|137826.06|395642.74|283867.23],203247.24,1024,65537
[512275.56|140062.58|273349.44|225251.78|208184.94],271824.86,1040,65537
[119421.97|135760.47|364527.46|106204.28|62314.38],157645.71,1056,65537
[249578.07|517319.2|485365.19|381637.57|225574.99],371895.0,1072,65537
[206043.88|155000.69|303999.0|322768.83|585732.27],314708.93,1088,65537
[133923.61|270040.74|43136.2|275226.59|130993.76],170664.18,1104,65537
[103322.15|564078.13|169729.43|435612.53|153822.86],285313.02,1120,65537
[150077.46|260695.76|188400.2|144394.43|179982.51],184710.07,1136,65537
[413413.63|376573.85|184576.67|203267.68|241414.84],283849.33,1152,65537
[155081.14|271381.66|452740.19|326187.35|218023.45],284682.76,1168,65537
[278988.8|168826.1|363719.76|95576.31|138864.11],209195.02,1184,65537
[383153.54|238083.25|336128.52|800458.74|564355.41],464435.89,1200,65537
[548350.18|110000.51|309891.74|178247.33|704661.24],370230.2,1216,65537
[320816.55|424986.96|301817.62|313204.69|213609.29],314887.02,1232,65537
[331350.62|342521.85|280366.53|234034.36|649594.9],367573.65,1248,65537
[125680.04|944958.6|263189.35|296318.92|263620.53],378753.49,1264,65537
[444838.84|134102.55|505950.27|398211.73|411865.05],378993.69,1280,65537
[292744.32|164050.08|443809.21|124304.9|503898.61],305761.42,1296,65537
[362823.77|329745.47|196516.33|326911.84|426573.03],328514.09,1312,65537
[312974.79|239063.03|359212.58|332577.46|256967.42],300159.06,1328,65537
[1049399.91|188229.66|393516.85|1041539.0|818956.83],698328.45,1344,65537
[652038.55|481878.74|175349.67|302883.38|1303232.31],583076.53,1360,65537
[646526.29|450888.12|256016.98|845991.57|601740.58],560232.71,1376,65537
[110951.68|545686.62|733581.38|762277.33|760581.44],582615.69,1392,65537
[566080.36|151509.51|979988.96|623818.21|445354.82],553350.37,1408,65537
[723635.98|398111.54|1021611.47|429530.77|185095.54],551597.06,1424,65537
[1212831.99|407879.59|722220.17|1656066.37|234781.96],846756.02,1440,65537
[1191608.76|887967.62|184552.35|527487.37|409627.44],640248.71,1456,65537
[293549.43|1293088.52|597697.09|1541919.45|197296.23],784710.14,1472,65537
[322565.58|355659.99|192930.98|818203.44|939034.62],525678.92,1488,65537
[897189.96|829958.22|549181.23|1247163.65|155897.06],735878.02,1504,65537
[310912.61|539828.13|506408.17|163450.07|631834.14],430486.62,1520,65537
[424707.5|292563.53|1050138.29|232493.17|694396.82],538859.86,1536,65537
[1054149.48|1606037.97|1303540.58|172100.42|990616.76],1025289.04,1552,65537
[275073.38|1187622.94|474054.25|584087.35|775862.94],659340.17,1568,65537
[354653.79|623303.62|1343327.44|1112975.41|651925.0],817237.05,1584,65537
[1274847.2|743660.48|1320201.06|685022.56|485874.43],901921.15,1600,65537
[2133910.71|409383.89|2687466.71|414502.02|564341.82],1241921.03,1616,65537
[486971.52|1260733.66|545375.43|1234766.29|387350.79],783039.54,1632,65537
[1071664.82|2461155.34|680956.17|1363140.52|289667.09],1173316.79,1648,65537
[2147001.26|868021.55|204755.8|1296567.61|2218551.1],1346979.46,1664,65537
[1239371.51|521588.71|1260895.03|1008408.06|1055351.02],1017122.87,1680,65537
[932277.1|697403.21|943137.74|3041926.02|3869397.41],1896828.3,1696,65537
[729021.59|184020.08|416629.34|2570940.9|491888.3],878500.04,1712,65537
[1218990.02|434198.21|670143.02|842125.18|1219979.33],877087.15,1728,65537
[1866751.62|1202685.88|651163.46|951980.98|2910358.87],1516588.16,1744,65537
[1230026.82|1307333.05|1162515.21|1648242.54|800694.27],1229762.38,1760,65537
[1390076.91|2158425.58|2000766.89|919902.28|1031694.65],1500173.26,1776,65537
[2070464.63|1067500.52|2337988.68|883494.41|3366143.51],1945118.35,1792,65537
[1631913.2|1292500.75|5068000.7|362831.23|3115196.21],2294088.42,1808,65537
[1165877.15|3256235.76|1447812.04|928119.38|814619.6],1522532.79,1824,65537
[1474765.11|1276029.72|646663.76|1846069.48|1558137.01],1360333.02,1840,65537
[637923.56|2372825.22|1102000.61|347718.33|3785096.47],1649112.84,1856,65537
[1616386.44|1052222.06|838742.98|837770.88|516647.23],972353.92,1872,65537
[1158639.34|833894.36|2476120.05|1261972.8|1448229.08],1435771.13,1888,65537
[1825842.58|3148135.7|3286722.99|658221.66|587310.67],1901246.72,1904,65537
[1003076.61|1187998.15|1873857.23|1979800.0|2167155.47],1642377.49,1920,65537
[1974338.29|4922481.42|4384066.06|1722881.59|1801454.56],2961044.38,1936,65537
[1071263.51|1559563.86|3214102.0|2333592.73|1421041.87],1919912.79,1952,65537
[2998704.73|893667.05|1954856.3|1070699.37|1124711.05],1608527.7,1968,65537
[1067634.71|2866711.84|2868304.6|1390242.48|388375.61],1716253.85,1984,65537
[3940367.96|1268752.96|2276110.96|1563827.26|2223803.04],2254572.44,2000,65537
[3625224.22|618140.62|3445282.48|1053520.88|1529221.55],2054277.95,2016,65537
[1815176.6|339150.97|2010456.56|1101644.75|2345189.15],1522323.61,2032,65537
[1242648.14|4431410.29|1543942.55|953410.85|1425036.14],1919289.59,2048,65537
[6013495.04|2255363.97|2905883.69|1020536.47|1102415.7],2659538.97,2064,65537
[5657601.79|1196744.87|1386176.87|517067.56|825558.51],1916629.92,2080,65537
[851019.32|2045288.23|7485268.59|4915021.7|1008573.91],3261034.35,2096,65537
